DatasetName                                                                             PROC_XSEC[pb]       Uncertainty[pb]     NumberOfEvents
Signal_gogoj_250_40_Summer16                                                            564.01632           0.243040            109307
Signal_gogoj_250_60_Summer16                                                            564.050             0.243128            110883
Signal_gogoj_500_60_Summer16                                                            14.1700             0.0061386           98319
Signal_gogoj_750_60_Summer16                                                            1.10592             0.000490515         89940
Signal_gogoj_750_80_Summer16                                                            1.10698             0.00103             310252
Signal_gogoj_750_100_Summer16                                                           1.10608             0.00049078          90513
Signal_gogoj_1000_100_Summer16                                                          0.139809            0.000059            201081
ZJetsToNuNu_HT-100To200_13TeV-madgraph                                                  280.35              0.12                5246318
ZJetsToNuNu_HT-200To400_13TeV-madgraph                                                  77.67               0.03                5132650
ZJetsToNuNu_HT-400To600_13TeV-madgraph                                                  10.73               0.01                1020309
ZJetsToNuNu_HT-600To800_13TeV-madgraph                                                  2.559               0.007269            5763506
ZJetsToNuNu_HT-800To1200_13TeV-madgraph                                                 1.1796              0.00336             2170137
ZJetsToNuNu_HT-1200To2500_13TeV-madgraph                                                0.28833             0.000726            369514
ZJetsToNuNu_HT-2500ToInf_13TeV-madgraph                                                 0.006945            0.000021            405030
TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                           831.76              35.06               10139950
TTJets_HT-600to800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                               1.65                0.001527            14277035
TTJets_HT-800to1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                              0.6736              0.0006183           10403610
TTJets_HT-1200to2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                             0.1194              0.0001075           2932983
TTJets_HT-2500toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                              0.001445            0.00000124          1519815
WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           1346                1.275               10235198
WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           360.1               0.3444              4950373
WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           48.8                0.04687             1963464
WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           12.07               0.01161             3779141
WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                          5.497               0.005288            1544513
WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                         1.329               0.001278            244532
WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                          0.03209             0.00003077          253561
QCD_HT100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                   28060000            26130               80684349
QCD_HT200to300_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                   1710000             1626                18722416
QCD_HT300to500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                   347500              332.9               17035891
QCD_HT500to700_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                   32060               30.88               18929951
QCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                  6829                6.593               15629253
QCD_HT1000to1500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                 1207                1.166               4767100
QCD_HT1500to2000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                 120                 0.1159              3970819
QCD_HT2000toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                  25.25               0.02437             1991645
DYJetsToLL_M-1To5_HT-150to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                    1124                1.492               19610850
DYJetsToLL_M-1To5_HT-200to400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                    789.8               0.4329              12203777
